house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area,jarak_ke_kota_km
"cepat Rumah murah Arcamanik Endah Golf Garden Resident Dkt Antapani,Jarang ada Tanah luas 300m,rumah kokoh siap huni bagus cantik 2 Lt harga Nego,Termurah Arcamanik ada taman belakang","Arcamanik, Bandung",4,4,1,2850000000.0,300,205,8.358909154
Rumah Bagus Arcamanik Dekat Sport Jabar Harga Menarik Jual Cepat,"Arcamanik, Bandung",3,3,1,2900000000.0,410,200,8.358909154
Rumah Scandinavian  Arcamanik Lokasi Bagus Ada View,"Arcamanik, Bandung",3,3,2,1150000000.0,96,135,8.358909154
Cepat Rumah Lokasi Strategis di Komplek Arcamanik,"Arcamanik, Bandung",3,2,1,1650000000.0,327,120,8.358909154
Dijual cepat rumah lt176/140 hrg1m An dibawah NJOP di Arcamanik Endah,"Arcamanik, Bandung",0,0,0,1070000000.0,176,144,8.358909154
Rumah baru di komplek pirus arcamanik bandung,"Arcamanik, Bandung",3,2,2,1150000000.0,100,135,8.358909154
"Rumah Dan Ruko Murah Terawat Arcamanik, Bandung","Arcamanik, Bandung",5,5,3,3150000000.0,424,500,8.358909154
"Dijual Cepat, Rumah Murah Komplek Arcamanik Endah, Lokasi Depan Dekat Sport Jabar","Arcamanik, Bandung",2,2,1,1110000000.0,176,120,8.358909154
"Rumah Desain Minimalis di Cisaranten Kulon, Bandung","Arcamanik, Bandung",4,3,2,1400000000.0,120,110,8.358909154
"Harga Bisa Di Pres, Rumah Masih Nego Di Tengah Kota Daerah Kurdi Bandung Dijual","Astanaanyar, Bandung",4,4,1,4150000000.0,306,400,1.884078249
JUAL RUMAH SIAP HUNI DI KARASAK,"Astanaanyar, Bandung",4,2,1,1300000000.0,145,150,1.884078249
Rumah kost di Astanya Anyar tengah kota Bandung,"Astanaanyar, Bandung",24,8,0,2550000000.0,233,326,1.884078249
Jual Rumah Bangunan Kokoh Sayap Astana Anyar,"Astanaanyar, Bandung",2,2,0,2200000000.0,135,200,1.884078249
Rumah tengah kota cocok untuk usaha,"Astanaanyar, Bandung",2,4,0,6850000000.0,483,600,1.884078249
Cepat Rumah Kost kostan Lokasi di Astana Anyar Tengah Kota Bandung,"Astanaanyar, Bandung",24,8,0,2250000000.0,233,326,1.884078249
JUAL RUMAH DI SAYAP MOH. TOHA ,"Astanaanyar, Bandung",3,2,1,1400000000.0,147,132,1.884078249
"Rumah Sejuk Bikin Betah Lokasi Komplek Kurdi, Bandung","Astanaanyar, Bandung",3,3,2,1950000000.0,122,150,1.884078249
Cluster Astana Anyar Bandung -  Bangunan Bagus Dalam Cluster Siap Huni - Turun Harga Jual Cepat (Good Invest),"Astanaanyar, Bandung",4,3,1,1640000000.0,75,140,1.884078249
"Astanaanyar, Kota Bandung. Dijual Rumah Siap Huni di Kota Bandung","Astanaanyar, Bandung",4,3,1,1900000000.0,251,160,1.884078249
Rumah Tengah Kota Astana anyar Dijual Cepat Murah,"Astanaanyar, Bandung",3,2,0,865000000.0,65,225,1.884078249
"Rumah Hitung Tanah di Nyengseret, Bandung Kota","Astanaanyar, Bandung",3,1,2,1300000000.0,140,120,1.884078249
Rumah Di Sayap Pagarsih,"Astanaanyar, Bandung",5,4,2,4000000000.0,239,400,1.884078249
Rumah Kost Dekat Pusat Kota Di Astanaanyar Bandung O2803,"Astanaanyar, Bandung",20,20,0,2170000000.0,157,252,1.884078249
ISTIMEWA RUMAH KURDI  CEPAT!,"Astanaanyar, Bandung",5,3,0,5500000000.0,312,650,1.884078249
RUMAH PAJAGALAN ASTANA ANYAR / SIAP PAKAI,"Astanaanyar, Bandung",2,1,0,600000000.0,76,60,1.884078249
For Sale Rumah Usaha 2 Lantai di Kalipah Apo Bandung,"Astanaanyar, Bandung",4,3,3,12000000000.0,305,500,1.884078249
Dijual Rumah Nyaman Furnish Nyaman di Jati Permai Townhouse,"Astanaanyar, Bandung",4,3,2,2300000000.0,134,200,1.884078249
JUAL CEPAT BU RUMAH + GUDANG DI SUMBERSARI BANDUNG,"Babakanciparay, Bandung",4,4,5,17000000000.0,1500,1100,3.792756836
Cepat Rumah Nyaman Lokasi Strategis di Taman Sakura Bandung,"Babakanciparay, Bandung",3,3,0,3200000000.0,270,350,3.792756836
"HARGA TERJANGKAU! Rumah Cantik 2 Lantai di Komplek Sumbersari, Bandung!","Babakanciparay, Bandung",6,4,2,2500000000.0,180,250,3.792756836
Jual Rumah Murah Sayap Satria Raya Caringin Lay,"Babakanciparay, Bandung",4,3,0,1000000000.0,120,200,3.792756836
"Jual sewa Rumah Bagus Semi Furnished SHM di Sudirman , Bandung","Babakanciparay, Bandung",4,4,2,3250000000.0,170,400,3.792756836
Rumah Nyaman Murah di Komp. Pasadena Bandung,"Babakanciparay, Bandung",2,1,1,736000000.0,102,51,3.792756836
Rumah 2 Lantai Di Soekarno Hatta Siap Huni Strategis Dekat Ke Tol,"Babakanciparay, Bandung",6,7,1,4500000000.0,294,350,3.792756836
RUMAH DIAN PERMAI RAYA COCOK UNTUK HOME INDUSTRI,"Babakanciparay, Bandung",5,2,1,5800000000.0,659,300,3.792756836
Jual Cepat Rumah Tinggal Siap Huni Pasadena Katsuba ,"Babakanciparay, Bandung",4,3,0,1490000000.0,160,140,3.792756836
Jual Rumah Taman Sakura Pratista Full Furnished,"Babakanciparay, Bandung",4,4,2,11000000000.0,400,550,3.792756836
Jual Cepat Rumah Komplek Cibolerang Indah Bandung,"Babakanciparay, Bandung",4,3,1,985000000.0,121,200,3.792756836
Dijual Rumah Cantik Terawat di Sumber Sari Strategis Dekat Suju,"Babakanciparay, Bandung",4,2,1,8000000000.0,337,400,3.792756836
Rumah Baru Terawat Nyaman di Komplek Dian Permai Sumber Sari,"Babakanciparay, Bandung",40,3,0,1750000000.0,140,200,3.792756836
Dijual Rumah Di Komplek Taman Sakura Indah Soekarno Hatta Bandung,"Babakanciparay, Bandung",3,4,0,4200000000.0,303,326,3.792756836
Rumah Hitung Tanah di Komplek Situ Inadah Bandung,"Babakanciparay, Bandung",5,3,3,3250000000.0,281,150,3.792756836
Dijual Rumah Siap Huni Sumber Sari Pusat Kota,"Babakanciparay, Bandung",3,2,1,1800000000.0,124,160,3.792756836
Rumah Sumber Sari,"Babakanciparay, Bandung",3,2,0,2000000000.0,215,170,3.792756836
"Di  rumah bagus,komplek sumber sari indah","Babakanciparay, Bandung",7,6,2,3900000000.0,282,550,3.792756836
Jual Cepat! Rumah di Komplek Gempol Sari Indah Kota Bandung,"Bandung Kidul, Bandung",3,1,0,475000000.0,60,50,4.599998017
JUAL RUMAH 2 LANTAI di Komplek Jakapurwa Kujangsari - Bandung Kidul,"Bandung Kidul, Bandung",6,4,6,4000000000.0,560,300,4.599998017
Rumah Baru 2 Lantai Minimalis Modern Komplek Batu Indah Bandung,"Bandung Kidul, Bandung",3,2,2,2300000000.0,148,140,4.599998017
"Rumah 2 Lantai Sudah Renovasi di Griya Bandung Indah Dekat Summarecon, Bandung ","Bandung Kidul, Bandung",2,1,1,435000000.0,84,56,4.599998017
Jual Cepat Rumah Murah SHM Lingungan Nyaman di Bandung 500m Jawa Barat,"Bandung Kidul, Bandung",4,3,6,4600000000.0,513,350,4.599998017
"Jual Cepat Rumah Singgasana Pradana, aman , nyaman siap huni ","Bandung Kidul, Bandung",3,2,1,2990000000.0,200,150,4.599998017
Rumah 2 Lantai Mewah Murah Semi Furnished Cijawura Girang Bandung,"Bandung Kidul, Bandung",7,5,2,3500000000.0,385,600,4.599998017
Rumah Cantik Batununggal Bandung,"Bandung Kidul, Bandung",3,3,1,3500000000.0,180,220,4.599998017
Dijual Rumah Bagus 2 Lantai Di Buah Batu Regency,"Bandung Kidul, Bandung",4,2,1,3200000000.0,244,320,4.599998017
Rumah mungil siap huni Taman Sakura,"Bandung Kidul, Bandung",0,0,0,2100000000.0,150,120,4.599998017
Dijual cepat  dan harga murah rumah terawat di batununggal jelita bandung,"Bandung Kidul, Bandung",4,3,1,3150000000.0,180,250,4.599998017
Rumah Minimalis Murah Siap Huni Di Sayap Batununggal Bandung dekat ke pusat kota Bandung,"Bandung Kidul, Bandung",5,5,0,3200000000.0,195,360,4.599998017
"Rumah Di Sayap Parakan , Batununggal , Cijagra Ref.03515","Bandung Kidul, Bandung",6,2,1,3250000000.0,278,235,4.599998017
