house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area (m2)
"Rumah 2 Lantai Bagus Sertifikat Hak Milik di Maltra Residence, Bandung","Andir, Bandung",3,2,2,2100000000,137,170
Rumah Cantik @ Andir (Sudirman),"Andir, Bandung",3,2,3,4100000000,202,300
Jual Cepat Rumah di Maleber Rajawali Bisa Untuk Usaha,"Andir, Bandung",5,2,1,3300000000,350,258
Rumah minimalis 3 lantai di andir Bandung cocok buat tempat usaha,"Andir, Bandung",2,2,1,580000000,30,80
Jual Rumah Murah Bisa Dijadikan Kos”an Di Jalan Maleber,"Andir, Bandung",11,3,0,1300000000,176,176
"Rumah 2,5 Lantai Strategis SHM di Komplek Kertalaksana Bandung","Andir, Bandung",5,3,1,3600000000,184,234
Rumah Bagus Semi Furnished Gateway Residence Gunung Batu Bandung,"Andir, Bandung",2,1,1,1170000000,65,45
Rumah 2 Lantai Cocok Untuk Gudang Dll Di Daerah Dadali Bandung,"Andir, Bandung",4,3,2,2900000000,260,260
Rumah Nyaman Di Tengah Kota dan Pusat Keramaian,"Andir, Bandung",5,3,2,4500000000,404,250
"Rumah Nyaman Siap Huni Di Maltra Residence, Bandung","Andir, Bandung",3,2,2,2100000000,137,170
Jual Rumah Bagus Taman Pesona Mediteran Sayap Paster Bandung,"Andir, Bandung",4,3,2,2200000000,172,220
RUMAH PUSAT KOTA SAYAP SUDIRMAN BANDUNG,"Andir, Bandung",2,2,1,1400000000,137,160
Dijual Rumah Di Tengah Kota Bandung,"Andir, Bandung",6,3,6,7000000000,188,260
"Rumah di Kertalaksana, Kong Liong, Bandung","Andir, Bandung",5,5,1,3600000000,184,250
"Rumah 3 Lantai Bagus Semi Furnished di Sayap Rajawali, Bandung","Andir, Bandung",6,5,1,7500000000,268,700
"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,7,5800000000,400,400
Dijual Rumah Lama Terawat Nyaman Strategis di Komplek Dadali,"Andir, Bandung",4,3,0,3500000000,222,196
Dijual Rumah Minimalis Modern Furnish di Istana Sudirman Regency,"Andir, Bandung",3,2,2,1500000000,74,78
Dijual Rumah Cantik Hoki Strategis di Komplek Dadali,"Andir, Bandung",3,3,1,8000000000,399,309
Dijual Rumah Nyaman 2 Lantai Tengah Kota di Komplek Elang,"Andir, Bandung",6,5,2,1500000000,187,370
"Rumah Siap Huni Sayap Gunung Batu, Babakan Cianjur, Pasteur","Andir, Bandung",4,1,0,650000000,180,90
"Jual rumah Rajawali Sakti untuk home industri, gudang, kantor","Andir, Bandung",2,3,1,3900000000,270,450
Dijual Rumah Town House Baru di Sayap Jenderal Sudirman,"Andir, Bandung",2,2,1,1200000000,38,114
Rumah Bagus Dekat Rs Santosa Dan Gerbang Tol Pasteur,"Andir, Bandung",7,3,0,4100000000,650,200
Rumah 2 lantai di Maleber ,"Andir, Bandung",0,0,0,1500000000,170,350
Rumah 2 Lantai di Rajawali Sakti Dekat Supermarket,"Andir, Bandung",4,1,0,1100000000,97,90
Rumah Jalan Elang Dekat Pusat Kota,"Andir, Bandung",3,2,2,2750000000,245,190
Jual Cepat Rumah di Maleber Rajawali Bisa Untuk Usaha,"Andir, Bandung",5,2,3,3300000000,350,258
Rumah Butuh Renovasi 2 Lantai SHM hadap Timur di Bandung,"Andir, Bandung",4,2,4,3500000000,240,200
Jual Rumah Luas Dan Strategis Mainroad Rajawali Bandung,"Andir, Bandung",9,3,6,10500000000,660,200
Dijual Rumah Bagus Di Maltra Residence Maleber (phlp),"Andir, Bandung",3,2,0,2300000000,137,170
Rumah Lama di Rajawali Dekat Telkom Dan Rs,"Andir, Bandung",9,3,3,10500000000,660,200
Rumah Hitung Tanah di Komplek Elang,"Andir, Bandung",3,2,0,1200000000,126,98
Dijual Rumah Murah Strategis di Komp Pesona Pasteur Residence,"Andir, Bandung",2,1,0,875000000,100,60
Dijual Rumah Nyaman Furnish Terawat di Dadali,"Andir, Bandung",4,3,0,5500000000,394,420
Rumah Hitung Tanah Dekat Masjid Sayap Dadali Bandung,"Andir, Bandung",3,2,0,1750000000,233,230
Rumah Dijual Terawat Siap Huni di Area Rajawali,"Andir, Bandung",3,3,0,2200000000,159,130
Dijual rumah di Andir Townhouse,"Andir, Bandung",3,3,1,1800000000,63,63
"Rumah 2,5 Lantai Strategis Tengah Kota di Sayap Sudirman Bandung","Andir, Bandung",6,4,0,7000000000,143,288
Di Jual Rumah Bangunan Baru Jl Elang Bandung,"Andir, Bandung",8,4,0,4250000000,269,439
Dijual Cepat Rumah Siap Huni di Komplek Dadali ,"Andir, Bandung",4,3,1,3500000000,240,200
"Dijual Rumah Unfurnished di Jl. Rajawali Sakti I , Bandung","Andir, Bandung",4,3,2,1800000000,158,150
Rumah Bersih Nyaman 2 Lantai Di Jalan Waringin Andir Bandung,"Andir, Bandung",4,2,0,600000000,85,80
Rumah Mungil Minimalis Murah di kota bandung dalam Gang 20 M ke Jl Rajawali Timur Bandung,"Andir, Bandung",1,1,0,265000000,22,46
" Rumah SHM - Sertifikat Hak Milik di Maleber, Andir","Andir, Bandung",5,4,1,1500000000,170,350
Rumah Terawat di Pusat Kota Bandung Sayap Rajawali Andir,"Andir, Bandung",4,1,1,1100000000,97,90
Rumah Siap Huni di Sayap Rajawali,"Andir, Bandung",3,2,0,2350000000,198,175
Strategis Ruko 2 Lantai Area Rajawali Garuda Andir Bandung Kota,"Andir, Bandung",4,2,2,2570000000,134,220
Rumah Nyaman Berada Dipusat Kota Bandung di Halteu Utara,"Andir, Bandung",4,1,1,500000000,120,110
Dijual Rumaah di Lugina Andir,"Andir, Bandung",2,1,1,3000000000,240,200
"Jl. Elang, Garuda, Andir. Dijual Rumah 3 Lantai di Kota Bandung","Andir, Bandung",2,2,1,550000000,31,77
Rumah 2 Lantai dijual bagus siap huni sayap andir bandung,"Andir, Bandung",2,2,0,1400000000,137,160
HOT DEAL SALE!! YUK MILIKI RUMAH HOKI!! Rumah Bagus Minimalis Campaka Andir,"Andir, Bandung",2,2,1,1100000000,72,65
HOT DEAL SALE!! YUK KEPOIN HARGA KEREN!! Rumah Bagus Campaka Andir Pasteur,"Andir, Bandung",4,2,2,1250000000,200,150
Rumah ex kos2 an jl Maleber Barat,"Andir, Bandung",5,3,0,400000000,56,95
Dijual Rumah Baru Ditengah Kota Andir. Rumah Sudah Smart Home,"Andir, Bandung",3,2,1,1600000000,70,116
Dijual Rumah Baru Ditengah Kota Andir. Rumah Sudah Smart Home,"Andir, Bandung",3,2,1,1600000000,70,116
Rumah Minimalis Sayap Rajawali Ciroyom Bandung,"Andir, Bandung",4,2,1,1800000000,89,145
Rumah 2 lantai di jl Halteu Utara ,"Andir, Bandung",4,2,1,1800000000,89,145
Rumah Kawasan Ramai Cocok Untuk Usaha di Kebon Jati,"Andir, Bandung",0,0,0,11900000000,598,550
Dijual rumah mewah bagus dan twrawat kompleks perumahan Dadali Bandung,"Andir, Bandung",7,4,2,6500000000,364,500
Dijual rumah kawasan sayap Jalan Elang Bandung,"Andir, Bandung",3,1,0,2000000000,200,180
Rumah di Bawah Pasaran di Jalan Elang Andir Pusat Kota Bandung,"Andir, Bandung",5,7,2,9000000000,718,1000
TURUN HARGA! RUMAH RAJAWALI SAKTI (DEKAT PUSAT KOTA),"Andir, Bandung",6,3,2,2000000000,161,200
Rumah Besar Rajawali,"Andir, Bandung",5,4,0,8900000000,447,700
Rumah Tinggal lokasi strategis di pusat kota Bandung ,"Andir, Bandung",4,2,1,1200000000,120,100
Rumah di Sayap Rajawali 2 Lantai (HSO),"Andir, Bandung",4,2,4,3500000000,240,200
Jual rumah pusat kota ,"Andir, Bandung",5,4,1,1350000000,170,350
Liat Aja Sendiri Beli Rumah Keren Komplek Biofarma Andir Bandung,"Andir, Bandung",4,3,1,35000000000,317,200
Rumah 2 Lantai di Rajawali Sakti Dekat Supermarket,"Andir, Bandung",4,1,0,1100000000,97,90
Rumah di Rajawali lokasi strategis siap huni ,"Andir, Bandung",4,1,1,1100000000,97,90
DIJUAL RUMAH ASRI BANGUNAN KOKOH TERAWAT DI ANDIR BANDUNG,"Andir, Bandung",3,1,0,550000000,125,115
"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,0,5800000000,400,400
"Rumah 2 Lantai Murah Tengah Kota Sayap Rajawali, Bandung","Andir, Bandung",4,1,1,1100000000,97,90
Rumah perkomplekan,"Andir, Bandung",4,3,1,4000000000,202,300
Rumah Hunian Pusat Kota Bandung Murah Andir Town House,"Andir, Bandung",3,2,2,1400000000,49,72
Rumah sayap pajajaran Minimalis 2 Lantai Hommy terawat,"Andir, Bandung",4,4,4,1580000000,178,250
Rumah Besar Tengah Kota Sayap Sudirman,"Andir, Bandung",7,4,0,11000000000,188,260
Dijual Rumah Pusat Kota Dekat Mall Paskal 23,"Andir, Bandung",3,2,1,1600000000,70,116
Dijual rumah lokasi dekat dengan Bandara husen kota bandung,"Andir, Bandung",4,3,1,1750000000,158,150
HOT DEAL SALE!! MILIKI Rumah 2 Lantai Bagus Maleber Andir,"Andir, Bandung",3,1,0,325000000,38,70
Rumah Dijual Minimalis Cantik di Dalam Komplek Sayap Rajawali,"Andir, Bandung",3,2,0,1200000000,126,98
Rumah Cantik Murah Siap Huni di Komplek Elang Bandung,"Andir, Bandung",6,5,2,1500000000,187,370
Rumah Cantik Murah Siap Huni di Komplek Elang Bandung,"Andir, Bandung",6,5,2,1500000000,187,370
Rumah Siap Huni dengan Hunian Asri & Dalam Komplek @Bandung,"Andir, Bandung",3,2,2,7000000000,510,300
Dijual Rumah Posisi Tusuk Sate Di Jl Garuda Kota Bandung,"Andir, Bandung",5,4,0,5300000000,270,160
Dijual Rumah Posisi Tusuk Sate Di Jl Garuda Kota Bandung,"Andir, Bandung",5,4,0,5300000000,270,160
Jual Rumah Sayap Rajawali ,"Andir, Bandung",5,4,1,1500000000,170,350
Rumah Pusat Kota Sayap Dulatip Akses Gang,"Andir, Bandung",4,2,0,2500000000,168,165
Rumah Minimalis Tengah Kota Andir Town House,"Andir, Bandung",2,2,1,999000000,39,52
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,3,2,1990000000,104,125
Rumah cantik terawat di Andir town house kota Bandung ,"Andir, Bandung",2,2,1,1000000000,39,525
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,11,2,1990000000,104,125
Rumah 2 Lantai Siap Huni di Sayap Pasteur Bandung ,"Andir, Bandung",4,4,0,2500000000,153,167
"Pasti Bikin Jatuh Cinta Rumahnya Bersih Terawat Dengan Sempurna di Tengah Kota Bandung, Komplek Dadali","Andir, Bandung",5,4,2,5500000000,392,260
Dijual Rumah Di Sayap Rajawali Bandung ,"Andir, Bandung",4,4,1,2500000000,228,450
Rumah Kost 3 Lantai Di Ciroyom Andir Bandung,"Andir, Bandung",11,5,0,2250000000,163,300
Dijual Rumah Tengah Kota Rajawali Sakti Bandung,"Andir, Bandung",3,2,1,3700000000,235,150
Dijual Rumah Tinggal Di Halteu Selatan Kota Bandung,"Andir, Bandung",3,2,2,2000000000,140,90
Rumah 2 Lantai Siap Huni di Town House Andir,"Andir, Bandung",3,2,1,1600000000,70,116
"Harga Bisa Di Pres, Rumah Masih Nego Di Tengah Kota Daerah Kurdi Bandung Dijual","Astanaanyar, Bandung",4,4,1,4150000000,306,400
JUAL RUMAH SIAP HUNI DI KARASAK,"Astanaanyar, Bandung",4,2,1,1300000000,145,150
Rumah kost di Astanya Anyar tengah kota Bandung,"Astanaanyar, Bandung",24,8,0,2550000000,233,326
Jual Rumah Bangunan Kokoh Sayap Astana Anyar,"Astanaanyar, Bandung",2,2,0,2200000000,135,200
Rumah tengah kota cocok untuk usaha,"Astanaanyar, Bandung",2,4,0,6850000000,483,600
Cepat Rumah Kost kostan Lokasi di Astana Anyar Tengah Kota Bandung,"Astanaanyar, Bandung",24,8,0,2250000000,233,326
JUAL RUMAH DI SAYAP MOH. TOHA ,"Astanaanyar, Bandung",3,2,1,1400000000,147,132
"Rumah Sejuk Bikin Betah Lokasi Komplek Kurdi, Bandung","Astanaanyar, Bandung",3,3,2,1950000000,122,150
Cluster Astana Anyar Bandung -  Bangunan Bagus Dalam Cluster Siap Huni - Turun Harga Jual Cepat (Good Invest),"Astanaanyar, Bandung",4,3,1,1640000000,75,140
"Astanaanyar, Kota Bandung. Dijual Rumah Siap Huni di Kota Bandung","Astanaanyar, Bandung",4,3,1,1900000000,251,160
Rumah Tengah Kota Astana anyar Dijual Cepat Murah,"Astanaanyar, Bandung",3,2,0,865000000,65,225
"Rumah Hitung Tanah di Nyengseret, Bandung Kota","Astanaanyar, Bandung",3,1,2,1300000000,140,120
Rumah Di Sayap Pagarsih,"Astanaanyar, Bandung",5,4,2,4000000000,239,400
Rumah Kost Dekat Pusat Kota Di Astanaanyar Bandung O2803,"Astanaanyar, Bandung",20,20,0,2170000000,157,252
ISTIMEWA RUMAH KURDI  CEPAT!,"Astanaanyar, Bandung",5,3,0,5500000000,312,650
RUMAH PAJAGALAN ASTANA ANYAR / SIAP PAKAI,"Astanaanyar, Bandung",2,1,0,600000000,76,60
For Sale Rumah Usaha 2 Lantai di Kalipah Apo Bandung,"Astanaanyar, Bandung",4,3,3,12000000000,305,500
Dijual Rumah Nyaman Furnish Nyaman di Jati Permai Townhouse,"Astanaanyar, Bandung",4,3,2,2300000000,134,200
"JUAL RUMAH ASTANAANYAR HITUNG HARGA TANAH, BANDUNG KOTA. ","Astanaanyar, Bandung",5,2,3,3400000000,311,264
Rumah Strategis Tengah Kota Jalan Rasdan Astanaanyar Bandung,"Astanaanyar, Bandung",3,1,1,1200000000,177,120
Rumah terawat mainroad kopo Immanuel bandung,"Astanaanyar, Bandung",6,3,2,5500000000,328,400
